Date,2YO,3YO,4YO,5YO
2018-02-19,89574.60605156874,,65008.111042737335,
2018-02-20,92881.06044217994,83198.45381935182,,47221.75535029429
2018-02-21,91107.1300308102,76396.84833030359,63398.56927608972,46544.34104794395
2018-02-22,94915.95534670788,,,
2018-02-23,93179.42794256324,,,46817.38916402434
2018-02-24,96888.8925980462,80242.99891485379,64509.023587550735,
2018-02-25,95251.72585431625,76905.13904779934,64092.21200893088,
2018-02-26,,81763.84564817822,,46662.70170925303
2018-02-27,98840.02656966966,78401.21322518453,,46649.65534043277
2018-02-28,97237.22594777597,,,
2018-03-01,100672.97292188655,79716.06247703983,64061.71892168686,
2018-03-02,98905.37151810071,79849.14612722083,64697.99085738754,
2018-03-03,102403.61079398502,80821.92193947762,,46688.59750003804
2018-03-04,100691.05580069768,79965.7310205252,,
2018-03-05,103790.46122892166,80691.3918356117,,
2018-03-06,102436.05360596965,82006.12566900911,64437.461857124494,
2018-03-07,105012.8638365526,80355.43766922367,63402.76870151423,46404.878422015696
2018-03-08,,,,46988.193527852985
2018-03-09,,82559.27063173101,64908.13507032115,
2018-03-11,106202.5269162308,83340.56098763781,,
2018-03-12,105374.52141277476,78815.9389760596,63684.44431376418,46396.07349689277
2018-03-13,,,,47185.46129670143
2018-03-14,,77944.08589052402,,
2018-03-16,106218.08770931298,84295.99319597567,,46396.07349689277
2018-03-17,,,63965.55088437324,
2018-03-18,,77525.82434491412,,47274.23179268325
2018-03-20,,84255.49054041025,,46297.37447908636
2018-03-21,105762.0116730128,,,
2018-03-22,,76661.0372582417,64483.37877760043,
2018-03-23,104705.45489676375,,,47695.30454214191
2018-03-24,,83953.35582404958,,46283.72265232436
2018-03-26,103418.8580693534,79697.25570190746,64690.44377871076,
2018-03-27,104452.29459340824,,65030.7968361549,
2018-03-28,,,,48116.37729160058
2018-03-29,102816.26992623479,79338.74294042727,64674.87792893988,46411.36626157996
2018-03-30,,82323.01266650978,,
2018-03-31,,81689.7353595923,,
2018-04-01,,,65190.057785226025,
2018-04-02,100996.89231624208,,,47561.87268033066
2018-04-03,,79418.0781862763,,
2018-04-06,100379.4738888755,81024.67001530799,,
2018-04-07,,79905.09188402651,65928.36518441536,47778.05933628867
2018-04-08,99371.00564748676,75266.52819227916,,
2018-04-10,,,64081.64609878337,
2018-04-11,,79333.9437778593,66175.59880261032,46667.265190678605
2018-04-13,99129.14714338818,75860.24937991054,,49010.18815854966
2018-04-14,,,63768.19076440754,
2018-04-15,,78427.1332476178,,
2018-04-16,98529.02160284451,,65790.14796479458,46853.22520927462
2018-04-17,,76996.10236562401,,
2018-04-18,,,63502.94239507966,48916.48596834664
2018-04-19,,78009.27665821309,,
2018-04-20,98386.78038648212,77263.49950030204,65664.51954358055,47086.379626529466
2018-04-21,,78155.98188020155,,
2018-04-22,,,63826.30327021879,
2018-04-23,,,,48694.55972839212
2018-04-24,,77264.37999281433,,47452.66451164278
2018-04-25,,77957.73130177637,,
2018-04-26,98159.45276714247,,64817.58253814577,
2018-04-28,,,,48436.70257339736
2018-04-29,,76375.66955040794,,47797.81757646112
2018-04-30,,78214.62629407832,,
2018-05-01,98059.09278974084,,64874.60264511382,
2018-05-03,,75651.56927958521,,48124.09996568983
2018-05-05,,78353.2649780309,65247.41818505754,
2018-05-06,97833.96094854256,,64638.72714556858,
2018-05-07,,,,48417.68430511445
2018-05-08,,,,48180.184021119785
2018-05-09,,74964.53355070848,65611.01966441913,
